id,location,name
02t,แขวงหิรัญรูจี เขตธนบุรี กทม.,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา
05t,แขวงบางนา เขตบางนา กทม.,กรมอุตุนิยมวิทยา
10t,แขวงคลองจั่น เขตบางกะปิ กทม.,เคหะชุมชนคลองจั่น
11t,แขวงดินแดง เขตดินแดง กทม.,สนามกีฬาเคหะชุมชนห้วยขวาง
12t,แขวงช่องนนทรี เขตยานนาวา กทม.,โรงเรียนนนทรีวิทยา
59t,แขวงพญาไท เขตพญาไท กทม.,กรมประชาสัมพันธ์
61t,แขวงพลับพลา เขตวังทองหลาง กทม.,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)
03t,ริมถนนกาญจนาภิเษก แขวงแสมดำ เขตบางขุนเทียน กทม.,ริมถนนกาญจนาภิเษก
50t,ริมถนนพระรามสี่ แขวงปทุมวัน เขตปทุมวัน กทม.,โรงพยาบาลจุฬาลงกรณ์
52t,ริมถนนอินทรพิทักษ์ แขวงบางยี่เรือ เขตธนบุรี กทม.,สถานีไฟฟ้าย่อยธนบุรี
53t,ริมถนนลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กทม.,สถานีตำรวจนครบาลโชคชัย
54t,ริมถนนดินแดง แขวงดินแดง เขตดินแดง กทม.,เคหะชุมชนดินแดง
08t,ต.ทรงคนอง อ.พระประแดง จ.สมุทรปราการ,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพพลภาพพระประแดง
16t,ต.บางโปรง อ.เมือง จ.สมุทรปราการ,โรงไฟฟ้าพระนครใต้
17t,ต.ตลาด อ.พระประแดง จ.สมุทรปราการ,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่
18t,ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ,ศาลากลางจังหวัดสมุทรปราการ
19t,ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,เคหะชุมชนเมืองใหม่บางพลี
13t,ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,กรมควบคุมโรค
22t,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช
14t,ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร,หน่วยบริการตำรวจทางหลวงศรีสำราญ สมุทรสาคร
27t,ต.มหาชัย อ.เมือง จ.สมุทรสาคร,โรงเรียนสมุทรสาครวิทยาลัย
20t,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี,มหาวิทยาลัยกรุงเทพ (วิทยาเขตรังสิต)
81t,ต.นครปฐม อ.เมือง จ.นครปฐม,อ่างเก็บน้ำประปา นครปฐม
21t,ต.ประตูชัย อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา,โรงเรียนอยุธยาวิทยาลัย
24t,ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี ,สถานีตำรวจภูธรตำบลหน้าพระลาน
25t,ต.ปากเพรียว อ.เมือง จ.สระบุรี ,สถานีดับเพลิงพระลักษณ์
26t,ต.หน้าเมือง อ.เมือง จ.ราชบุรี,สำนักงานสิ่งแวดล้อมภาคที่ ๘ ราชบุรี
79t,ต.บ้านเหนือ อ.เมือง จ.กาญจนบุรี,สถานีอุตุนิยมวิทยากาญจนบุรี
84t,ต.ลาดใหญ่ อ.เมือง จ.สมุทรสงคราม,สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม
85t,ต.ดอนกำยาน อ.เมือง จ.สุพรรณบุรี,สนามกีฬากลางจังหวัดสุพรรณบุรี
99t,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี,สถานีอุตุนิยมวิทยาลพบุรี
100t,ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์,สถานีตรวจอากาศหัวหิน สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์
46t,ต.ในเมือง อ.เมือง จ.ขอนแก่น,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค ๔ ขอนแก่น
47t,ต.ในเมือง อ.เมือง จ.นครราชสีมา,สถานีสูบน้ำเสียที่ ๑ ห้าแยกไอที นครราชสีมา
72t,ต.กุดป่อง อ.เมือง จ.เลย,สวนสาธารณะเฉลิมพระเกียรติ 60 พรรษา มหาราชินี
82t,ต.มีชัย อ.เมือง จ.หนองคาย,สวนสาธารณะหนองถิ่น
83t,ต.ในเมือง อ.เมือง จ.อุบลราชธานี,ศูนย์แสดงและจำหน่ายสินค้า OTOP จังหวัดอุบลราชธานี
88t,ต.ในเมือง อ.เมือง จ.นครพนม,สถานีอุตุนิยมวิทยานครพนม
90t,ต.ธาตุนาเวง อ.เมือง จ.สกลนคร,สถานีอุตุนิยมวิทยาสกลนคร
91t,ต.หมากแข้ง อ.เมือง จ.อุดรธานี,บริเวณสวนสาธารณะหนองประจักษ์
101t,ต.เสม็ด อ.เมือง  จ.บุรีรัมย์,ศาลากลางจังหวัดบุรีรัมย์
102t,ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร,สนามกีฬากลางจังหวัดมุกดาหาร
28t,ต.ปลวกแดง อ.ปลวกแดง จ.ระยอง,สำนักงานสาธารณสุขอำเภอปลวกแดง
29t,ต.มาบตาพุด อ.เมือง จ.ระยอง,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด
30t,ต.ท่าประดู่ อ.เมือง จ.ระยอง,สำนักงานเกษตรจังหวัดระยอง
31t,ต.ห้วยโป่ง อ.เมือง จ.ระยอง,ศูนย์วิจัยพืชไร่ระยอง
74t,ต.เนินพระ อ.เมือง จ.ระยอง,ศูนย์ราชการจังหวัดระยอง
32t,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี,สนามกีฬาเทศบาลแหลมฉบัง
33t,ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน
34t,ต.บ้านสวน อ.เมือง จ.ชลบุรี,สำนักงานสิ่งแวดล้อมภาคที่ ๑๓ ชลบุรี
60t,ต.วังเย็น อ.แปลงยาว จ.ฉะเชิงเทรา,สำนักงานเทศบาลตำบลทุ่งสะเดา
71t,ต.อรัญประเทศ อ.อรัญประเทศ จ.สระแก้ว ,สวนกาญจนาภิเษก ร.9 (ฝั่งสวนหิน)
77t,ต.ท่าตูม อ.ศรีมหาโพธิ จ.ปราจีนบุรี,ศาลาประชาคมบ้านบุยายใบ ปราจีนบุรี
87t,ต.บางพระ อ.เมือง จ.ตราด,สนามกีฬากลาง จังหวัดตราด
100t,ต.วัดใหม่ อ.เมืองจันทบุรี จ.จันทบุรี,สถานีอุตุนิยมวิทยาจันทบุรี
35t,ต.ช้างเผือก อ.เมือง จ.เชียงใหม่,ศูนย์ราชการจังหวัดเชียงใหม่
36t,ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่,โรงเรียนยุพราชวิทยาลัย
37t,ต.พระบาท อ.เมือง จ.ลำปาง,สถานีอุตุนิยมวิทยาลำปาง
38t,ต.สบป้าด อ.แม่เมาะ จ.ลำปาง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด
39t,ต.บ้านดง อ.แม่เมาะ จ.ลำปาง,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี
40t,ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง,สำนักงานการประปาส่วนภูมิภาคอำเภอแม่เมาะ
41t,ต.ปากน้ำโพ อ.เมือง จ.นครสวรรค์,โครงการชลประทานนครสวรรค์
57t,ต.เวียง อ.เมือง จ.เชียงราย,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัดเชียงราย
73t,ต.เวียงพางคำ อ.แม่สาย จ.เชียงราย,สำนักงานสาธารณสุขอำเภอแม่สาย
58t,ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด แม่ฮ่องสอน
67t,ต.ในเวียง อ.เมือง จ.น่าน,สำนักงานเทศบาลเมืองน่าน
75t,ต.ห้วยโก๋น อ.เฉลิมพระเกียรติ จ.น่าน,โรงพยาบาลเฉลิมพระเกียรติ น่าน
68t,ต.บ้านกลาง อ.เมือง จ.ลำพูน,สถานีอุตุนิยมวิทยาลำพูน
69t,ต.นาจักร อ.เมือง จ. แพร่,สถานีอุตุนิยมวิทยาแพร่ 
70t,ต.บ้านต๋อม อ.เมืองพะเยา จ.พะเยา,สนามกีฬาจังหวัดพะเยา
76t,ต.แม่ปะ อ.แม่สอด จ.ตาก,ศูนย์การศึกษานอกระบบอำเภอแม่สอด
86t,ต.ในเมือง อ.เมือง จ.พิษณุโลก,สวนชมน่าน บริเวณหน้าวิทยาลัยอาชีวศึกษาพิษณุโลก
92t,ต.ท่าอิฐ อ.เมือง จ.อุตรดิตถ์,บริเวณภายในพื้นที่สวนมหามงคลเฉลิมพระเกียรติพระชนมพรรษา 6 รอบ 5 ธันวาคม 2552
94t,ต.ในเมือง อ.เมืองกำแพงเพชร จ.กำแพงเพชร,ลานอนุรักษ์วัฒนธรรมไทยสิริจิตอุทยาน
95t,ต.ในเมือง อ.เมืองพิจิตร จ.พิจิตร,สนามกีฬาจังหวัดพิจิตร
96t,ต.ธานี อ.เมือง จ.สุโขทัย,สวนสาธารณะ ชุมชนเลอไทย
97t,ต.ในเมือง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์,สวนสาธารณะเพชบุระ
98t,ต.อุทัยใหม่ อ.เมืองอุทัยธานี จ.อุทัยธานี,สวนเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว เฉลิมพระชนมพรรษา 80 พรรษา
42t,ต.มะขามเตี้ย อ.เมือง จ.สุราษฏร์ธานี,สำนักงานสิ่งแวดล้อมภาคที่ ๑๔ สุราษฎร์ธานี
43t,ต.ตลาดใหญ่ อ.เมือง จ.ภูเก็ต,ศูนย์บริการสาธารณสุขเทศบาลนครภูเก็ต
44t,ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา,เทศบาลนครหาดใหญ่
62t,ต.บางนาค อ.เมือง จ.นราธิวาส,ศาลากลางจังหวัดนราธิวาส
63t,ต.สะเตง อ.เมือง จ.ยะลา,สวนสาธารณะสนามโรงพิธีช้างเผือก ยะลา
78t,ต.เบตง อ.เบตง จ.ยะลา,ศูนย์พัฒนาเด็กเล็กเทศบาลเมืองเบตง
80t,ต.พิมาน อ.เมือง. จ.สตูล,ศาลากลางจังหวัดสตูล
89t,ต.คลัง อ.เมือง จ.นครศรีธรรมราช,ศูนย์ฟื้นฟูสุขภาพผู้สูงอายุ
93t,ต.นาตาล่วง อ.เมืองตรัง จ.ตรัง,วิทยาลัยสารพัดช่างตรัง
